food_id,source,usda_food_id,name_zh,name_en,protein_g_per_100g,fat_g_per_100g,carbs_g_per_100g,gi,gi_level,gi_source,gi_match_note,category,translation_note
foundation_321358,foundation_food,321358,鹰嘴豆泥，商业生产,"Hummus, commercial",7.35,17.1,14.9,,,,,Foundation Foods,
foundation_321359,foundation_food,321359,减脂牛奶，液态，2%乳脂，添加维生素A和D,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",3.35,1.9,4.91,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_321360,foundation_food,321360,葡萄番茄，生,"Tomatoes, grape, raw",0.83,0.63,5.51,,,,,Foundation Foods,
foundation_321611,foundation_food,321611,四季豆罐头，常规包装，沥干固形物,"Beans, snap, green, canned, regular pack, drained solids",1.04,0.39,4.11,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_321900,foundation_food,321900,西兰花，生,"Broccoli, raw",2.57,0.34,6.29,,,,,Foundation Foods,
foundation_322228,foundation_food,322228,低脂牛奶，液态，1%乳脂，添加维生素A和D,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",3.38,0.95,5.19,,,,,Foundation Foods,
foundation_322559,foundation_food,322559,脱脂牛奶，液态，添加维生素A和D,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",3.43,0.08,4.89,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_322892,foundation_food,322892,全脂牛奶，3.25%乳脂，添加维生素D,"Milk, whole, 3.25% milkfat, with added vitamin D",3.28,3.2,4.67,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_323121,foundation_food,323121,牛肉热狗肠，未加热,"Frankfurter, beef, unheated",11.7,28.0,2.89,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_323294,foundation_food,323294,杏仁，干烤，加盐,"Nuts, almonds, dry roasted, with salt added",20.4,57.8,16.2,,,,,Foundation Foods,
foundation_323444,foundation_food,323444,里科塔奶酪，全脂奶,"Cheese, ricotta, whole milk",7.81,11.0,6.86,,,,,Foundation Foods,
foundation_323505,foundation_food,323505,羽衣甘蓝，生,"Kale, raw",2.92,1.49,4.42,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
foundation_323604,foundation_food,323604,全蛋，生，冷冻，巴氏杀菌,"Egg, whole, raw, frozen, pasteurized",12.3,10.3,0.91,N/A,N/A,,N/A - 碳水低于 5g/100g，通常不需要 GI,Foundation Foods,
